SystemContractID,NetUnitPrice,ShortText,Currency,PaymentTerms,ValidityPeriodStartDate,ValidityPeriodEndDate,SystemContractNumber,SystemContractItemNumber,Name,QuantityUnit,COUNT
24-PA-00076-5,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,5,YUSUF BIN AHMED KANOO COMPANY LIMITED,,260
24-PA-00076-6,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,6,YUSUF BIN AHMED KANOO COMPANY LIMITED,,246
24-PA-00154-4,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,4,Akeed for Travel and Tourism,,240
24-PA-00076-7,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,7,YUSUF BIN AHMED KANOO COMPANY LIMITED,,214
24-PA-00156-3,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,3,Company Almatar Alarabi Commercial Services CJSC,,209
22-PA-00370-2,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,2,CATRION CATERING HOLDING COMPANY,,203
24-PA-00076-8,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,8,YUSUF BIN AHMED KANOO COMPANY LIMITED,,201
24-PA-00156-4,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,4,Company Almatar Alarabi Commercial Services CJSC,,194
24-PA-00154-5,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,5,Akeed for Travel and Tourism,,192
24-PA-00076-9,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,9,YUSUF BIN AHMED KANOO COMPANY LIMITED,,176
24-PA-00154-6,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,6,Akeed for Travel and Tourism,,175
24-PA-00076-10,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,10,YUSUF BIN AHMED KANOO COMPANY LIMITED,,163
22-PA-00370-3,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,3,CATRION CATERING HOLDING COMPANY,,161
24-PA-00156-5,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,5,Company Almatar Alarabi Commercial Services CJSC,,159
24-PA-00958-1,1.0,"PROVIDE: PUBLICATION PRINTING;PRINTING SERVICE AS PER SOW, MAADEN",SAR,300000192972417,2024-10-17T00:00:00,2027-10-16T00:00:00,24-PA-00958,1,Al Wafa Printing Press Company,,155
24-PA-00154-7,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,7,Akeed for Travel and Tourism,,155
24-PA-00156-6,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,6,Company Almatar Alarabi Commercial Services CJSC,,153
24-PA-00076-11,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,11,YUSUF BIN AHMED KANOO COMPANY LIMITED,,150
22-PA-00370-4,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,4,CATRION CATERING HOLDING COMPANY,,148
24-PA-00154-8,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,8,Akeed for Travel and Tourism,,148
24-PA-00076-12,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,12,YUSUF BIN AHMED KANOO COMPANY LIMITED,,145
24-PA-00156-7,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,7,Company Almatar Alarabi Commercial Services CJSC,,138
24-PA-00156-8,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,8,Company Almatar Alarabi Commercial Services CJSC,,132
22-PA-00370-5,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,5,CATRION CATERING HOLDING COMPANY,,132
24-PA-00076-13,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,13,YUSUF BIN AHMED KANOO COMPANY LIMITED,,128
24-PA-00154-9,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,9,Akeed for Travel and Tourism,,123
24-PA-00156-9,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,9,Company Almatar Alarabi Commercial Services CJSC,,122
24-PA-00076-14,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,14,YUSUF BIN AHMED KANOO COMPANY LIMITED,,121
24-PA-00154-10,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,10,Akeed for Travel and Tourism,,117
24-PA-00156-10,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,10,Company Almatar Alarabi Commercial Services CJSC,,116
22-PA-00370-6,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,6,CATRION CATERING HOLDING COMPANY,,112
24-PA-00575-1,1.0,"PAY: FEES;COST MARK-UP,EACH,NORMAL SHIFT HOURS: 8 HR,SUPPLY OF SPARE PARTS/FITTINGS ETC,CATEGORY A REGULAR REQUIREMENT",SAR,300000192972423,2024-06-01T00:00:00,2027-05-31T00:00:00,24-PA-00575,1,Simple Solutions Trading Industrial Services and Maintenance Co,,111
24-PA-00156-11,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,11,Company Almatar Alarabi Commercial Services CJSC,,110
24-PA-00076-15,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,15,YUSUF BIN AHMED KANOO COMPANY LIMITED,,109
24-PA-00154-11,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,11,Akeed for Travel and Tourism,,106
24-PA-00156-12,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,12,Company Almatar Alarabi Commercial Services CJSC,,106
24-PA-00080-1,1.0,"TRANSPORT: FREIGHT, PURPOSE: MAIL ROOM AND COURIER SERVICES-UPS-SIGNED (CONTRACT NO: 16-005-SS-004)",SAR,300000192972447,2024-03-31T00:00:00,2027-04-01T00:00:00,24-PA-00080,1,EIRAD FOR TRADING AND CONTRACTING CO LTD UPS,,102
24-PA-00154-12,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,12,Akeed for Travel and Tourism,,101
24-PA-00076-16,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,16,YUSUF BIN AHMED KANOO COMPANY LIMITED,,99
24-PA-00156-13,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,13,Company Almatar Alarabi Commercial Services CJSC,,95
24-PA-00076-17,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,17,YUSUF BIN AHMED KANOO COMPANY LIMITED,,92
22-PA-00370-7,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,7,CATRION CATERING HOLDING COMPANY,,91
24-PA-00156-14,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,14,Company Almatar Alarabi Commercial Services CJSC,,90
24-PA-00154-13,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,13,Akeed for Travel and Tourism,,89
24-PA-00076-18,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,18,YUSUF BIN AHMED KANOO COMPANY LIMITED,,89
24-PA-00076-19,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,19,YUSUF BIN AHMED KANOO COMPANY LIMITED,,86
24-PA-00156-15,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,15,Company Almatar Alarabi Commercial Services CJSC,,84
24-PA-00076-20,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,20,YUSUF BIN AHMED KANOO COMPANY LIMITED,,84
24-PA-00154-14,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,14,Akeed for Travel and Tourism,,81
24-PA-00156-16,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,16,Company Almatar Alarabi Commercial Services CJSC,,81
24-PA-00076-21,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,21,YUSUF BIN AHMED KANOO COMPANY LIMITED,,79
24-PA-00156-17,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,17,Company Almatar Alarabi Commercial Services CJSC,,79
22-PA-00370-8,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,8,CATRION CATERING HOLDING COMPANY,,79
24-PA-00154-15,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,15,Akeed for Travel and Tourism,,79
24-PA-00076-22,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,22,YUSUF BIN AHMED KANOO COMPANY LIMITED,,77
24-PA-00156-18,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,18,Company Almatar Alarabi Commercial Services CJSC,,77
24-PA-00154-16,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,16,Akeed for Travel and Tourism,,76
24-PA-00156-19,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,19,Company Almatar Alarabi Commercial Services CJSC,,75
24-PA-00958-2,1.0,"PROVIDE: PUBLICATION PRINTING;PRINTING SERVICE AS PER SOW, MAADEN",SAR,300000192972417,2024-10-17T00:00:00,2027-10-16T00:00:00,24-PA-00958,2,Al Wafa Printing Press Company,,72
22-PA-00370-9,1.0,PROVIDE: CATERING SERVICES;PURPOSE: FRAMEWORK AGREEMENT-CATERING SERVICES (CONTRACT NO: 20-SS-001),SAR,300000192972418,2021-10-03T00:00:00,2027-10-03T00:00:00,22-PA-00370,9,CATRION CATERING HOLDING COMPANY,,70
24-PA-00156-20,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00156,20,Company Almatar Alarabi Commercial Services CJSC,,69
24-PA-00154-17,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972410,2023-11-27T00:00:00,2026-11-26T00:00:00,24-PA-00154,17,Akeed for Travel and Tourism,,68
24-PA-00076-23,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,23,YUSUF BIN AHMED KANOO COMPANY LIMITED,,68
24-PA-00076-24,1.0,"PROVIDE: ADMINISTRATIVE SERVICES;BUSINESS AND VACATION TRAVEL, DOMESTIC AND INTERNATIONAL, AIR TICKET, HOTEL ACCOMODATION, CAR TRANSFER, MEETING, AMOUNT BASE",SAR,300000192972443,2023-12-12T00:00:00,2026-12-13T00:00:00,24-PA-00076,24,YUSUF BIN AHMED KANOO COMPANY LIMITED,,66
